 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
 276         70.77455          1.33013          4.72373          0.37590          0.75180          1.54056
 277         70.85715          1.33209          4.71679          0.37535          0.75070          1.54439
 278         70.90305          1.32804          4.73118          0.37650          0.75299          1.54056
 279         70.97705          1.33013          4.72373          0.37590          0.75180          1.54439
 280         71.03185          1.32594          4.73865          0.37709          0.75418          1.54056
 281         71.04055          1.32580          4.73915          0.37713          0.75426          1.54056
 282         71.10605          1.32804          4.73118          0.37650          0.75299          1.54439
 283         71.23535          1.32594          4.73865          0.37709          0.75418          1.54439
 284         71.24405          1.32580          4.73915          0.37713          0.75426          1.54439
 285         71.27455          1.32202          4.75270          0.37821          0.75642          1.54056
 286         71.42125          1.31967          4.76118          0.37888          0.75777          1.54056
 287         71.43865          1.31939          4.76219          0.37896          0.75793          1.54056
 288         71.47895          1.32202          4.75270          0.37821          0.75642          1.54439
 289         71.62615          1.31967          4.76118          0.37888          0.75777          1.54439
 290         71.63575          1.31624          4.77357          0.37987          0.75974          1.54056
 291         71.64355          1.31939          4.76218          0.37896          0.75793          1.54439
 292         71.84145          1.31624          4.77357          0.37987          0.75974          1.54439
 293         71.87755          1.31241          4.78752          0.38098          0.76196          1.54056
 294         72.07625          1.30928          4.79896          0.38189          0.76378          1.54056
 295         72.08425          1.31241          4.78752          0.38098          0.76196          1.54439
 296         72.12975          1.30844          4.80204          0.38213          0.76427          1.54056
 297         72.15985          1.30797          4.80377          0.38227          0.76454          1.54056
 298         72.26735          1.30629          4.80996          0.38276          0.76553          1.54056
 299         72.28365          1.30928          4.79896          0.38189          0.76378          1.54439
 300         72.33735          1.30844          4.80204          0.38213          0.76427          1.54439
 301         72.34825          1.30503          4.81461          0.38313          0.76627          1.54056
 302         72.36755          1.30797          4.80377          0.38227          0.76454          1.54439
 303         72.41265          1.30402          4.81831          0.38343          0.76686          1.54056
 304         72.44975          1.30345          4.82044          0.38360          0.76720          1.54056
 305         72.47545          1.30629          4.80995          0.38276          0.76553          1.54439
 306         72.55665          1.30503          4.81460          0.38313          0.76627          1.54439
 307         72.62135          1.30402          4.81831          0.38343          0.76686          1.54439
 308         72.65855          1.30345          4.82043          0.38360          0.76720          1.54439
 309         72.92945          1.29605          4.84794          0.38579          0.77157          1.54056
 310         73.04285          1.29432          4.85443          0.38630          0.77261          1.54056
 311         73.11115          1.29328          4.85834          0.38661          0.77323          1.54056
 312         73.14015          1.29605          4.84794          0.38579          0.77157          1.54439
 313         73.25405          1.29432          4.85443          0.38630          0.77261          1.54439
 314         73.27885          1.29073          4.86792          0.38738          0.77475          1.54056
 315         73.32255          1.29328          4.85834          0.38661          0.77323          1.54439
 316         73.47445          1.28778          4.87909          0.38827          0.77653          1.54056
 317         73.49085          1.29073          4.86792          0.38738          0.77475          1.54439
 318         73.54615          1.28670          4.88317          0.38859          0.77718          1.54056
 319         73.68715          1.28778          4.87908          0.38826          0.77653          1.54439
 320         73.75925          1.28670          4.88318          0.38859          0.77718          1.54439
 321         73.85785          1.28204          4.90093          0.39000          0.78001          1.54056
 322         74.07215          1.28204          4.90093          0.39000          0.78001          1.54439
 323         74.14575          1.27777          4.91730          0.39131          0.78261          1.54056
 324         74.32605          1.27512          4.92753          0.39212          0.78424          1.54056
 325         74.36115          1.27777          4.91730          0.39131          0.78261          1.54439
 326         74.41635          1.27379          4.93265          0.39253          0.78506          1.54056
 327         74.54215          1.27512          4.92753          0.39212          0.78424          1.54439
 328         74.61425          1.27091          4.94386          0.39342          0.78684          1.54056
 329         74.63145          1.27066          4.94484          0.39350          0.78700          1.54056
 330         74.63275          1.27380          4.93265          0.39253          0.78506          1.54439
 331         74.73105          1.26921          4.95047          0.39395          0.78789          1.54056
 332         74.76725          1.26868          4.95252          0.39411          0.78822          1.54056
 333         74.77295          1.26860          4.95284          0.39413          0.78827          1.54056
 334         74.83145          1.27091          4.94386          0.39342          0.78684          1.54439
 335         74.84875          1.27066          4.94484          0.39350          0.78700          1.54439
 336         74.94875          1.26921          4.95047          0.39395          0.78789          1.54439
 337         74.98505          1.26868          4.95252          0.39411          0.78822          1.54439
 338         74.99085          1.26860          4.95285          0.39413          0.78827          1.54439
 339         75.15415          1.26311          4.97438          0.39585          0.79170          1.54056
 340         75.18965          1.26260          4.97638          0.39601          0.79202          1.54056
 341         75.37345          1.26311          4.97437          0.39585          0.79170          1.54439
 342         75.40915          1.26260          4.97638          0.39601          0.79202          1.54439
 343         75.92005          1.25226          5.01747          0.39928          0.79856          1.54056
 344         76.07585          1.25008          5.02621          0.39997          0.79995          1.54056
 345         76.14245          1.25226          5.01747          0.39928          0.79856          1.54439
 346         76.29885          1.25008          5.02621          0.39997          0.79995          1.54439
 347         76.38475          1.24580          5.04351          0.40135          0.80270          1.54056
 348         76.40315          1.24554          5.04454          0.40143          0.80286          1.54056
 349         76.47885          1.24450          5.04878          0.40177          0.80354          1.54056
 350         76.56335          1.24333          5.05350          0.40214          0.80429          1.54056
